year,month,day,tag,prey,preynumber,preymass,preysl,preybd,comments,chaoborus,dissector
2012,11,28,54,hap,1,1.4973,NA,NA,"pharyngeal jaws, ctenoid scales, body shape and fins",NA,Jennifer Sunahara
2012,11,28,54,diptera,1,0.0086,NA,NA,NA,NA,Jennifer Sunahara
2012,11,18,1171,nile perch,1,1.0622,NA,NA,"no pharyngeal jaws, not much body shape, long spines of dorsal fin, head shape typical of NP",NA,Jennifer Sunahara
2012,11,23,21,ufp,1,0.5243,NA,NA,"no pharyngeal jaws, not much body, no fins",NA,Jennifer Sunahara
2012,08,27,975,odonata larvae,2,0.8581,NA,NA,"quite digested, but abdomen and heads intact",NA,Jennifer Sunahara
2012,08,27,975,ephemeroptera larvae,1,0.0452,NA,NA,NA,NA,Jennifer Sunahara
2012,08,27,975,ufp,1,0.3187,NA,NA,"flesh and bone, no pharyngeal jaws",NA,Jennifer Sunahara
2013,01,26,193,ufp,3,0.5338,NA,NA,"bodies in pieces, body shape unclear, no pharyngeal jaws, no useful fins",NA,Jennifer Sunahara
2012,11,17,922,ufp,1,0.4736,NA,NA,"no pharyngeal jaws, no fins, not much body shape (might have a NP shape)",NA,Jennifer Sunahara
2013,01,24,172,diptera,many,0.5122,NA,NA,one species (green),NA,Jennifer Sunahara
2013,01,23,167,diptera,many,0.3743,NA,NA,one species (green),NA,Jennifer Sunahara
2013,01,23,167,ufp,1,0.0656,NA,NA,mass of flesh and bone,NA,Jennifer Sunahara
2012,01,26,198,diptera,many,0.1077,NA,NA,NA,NA,Jennifer Sunahara
2012,01,26,198,hap,1,0.4283,NA,NA,"pharyngeal jaw, ctenoid scales, body shape",NA,Jennifer Sunahara
2012,01,26,198,cichlid,1,0.2395,NA,NA,"pharyngeal jaw, no scales, not much body shape",NA,Jennifer Sunahara
2012,01,26,198,ufp,1,0.0625,NA,NA,mass of flesh and bone,NA,Jennifer Sunahara
2012,11,17,917,cichlid,1,0.428,NA,NA,mass of flesh and bone; pharyngeal jaw,NA,Jennifer Sunahara
2013,01,23,156,diptera,9,0.0433,NA,NA,2 species,NA,Jennifer Sunahara
2013,01,23,156,ufp,1,0.0534,NA,NA,flesh and bone,NA,Jennifer Sunahara
2012,08,27,976,ufp,1,0.0942,NA,NA,"visible head, but highly digested, mainly flesh and bone",NA,Jennifer Sunahara
2012,11,28,43,ufp,1,0.3989,NA,NA,"very digested, visible head, but not much body shape, no pharyngeal jaws",NA,Jennifer Sunahara
2012,11,28,43,hymenoptera,1,4e-4,NA,NA,not very confident about that weight (probably les than the error margin),NA,Jennifer Sunahara
2013,01,23,155,diptera,many,0.2127,NA,NA,NA,NA,Jennifer Sunahara
2013,01,23,155,ufp,1,0.0647,NA,NA,"flesh and bone, no head, no fins",NA,Jennifer Sunahara
2012,11,17,920,ufp,1,3.5155,NA,NA,"flesh and bone, no pharyngeal jaw",NA,Jennifer Sunahara
2012,11,18,1174,hap,1,0.7879,NA,NA,"pharyngeal jaws, ctenoid scales, body shape",NA,Jennifer Sunahara
2012,11,17,1151,diptera,4,0.0229,NA,NA,NA,NA,Jennifer Sunahara
2012,11,17,1151,ufp,1,0.3856,NA,NA,"no pharyngeal jaws, not much body shape, no fins",NA,Jennifer Sunahara
2012,12,17,86,diptera,many,0.0506,NA,NA,NA,NA,Jennifer Sunahara
2012,12,17,86,ephemeroptera larvae,1,0.0046,NA,NA,"one set of jaws, no body",NA,Jennifer Sunahara
2012,12,17,86,ufp,1,0.3274,NA,NA,"flesh and bone, no head, no fins, no body shape",NA,Jennifer Sunahara
2013,01,23,158,ufp,1,0.5023,NA,NA,bone and flesh,NA,Jennifer Sunahara
2013,11,24,36,cichlid,1,0.5287,NA,NA,"pharygeal jaws, not much body shape, no scales",NA,Jennifer Sunahara
2012,11,18,1162,ufp,1,0.4385,NA,NA,just flesh and bone,NA,Jennifer Sunahara
2013,01,25,181,diptera,many,0.536,NA,NA,weight is probably a bit inaccurate as there were loose DIP in vial,NA,Jennifer Sunahara
2012,12,18,131,ufp,1,0.2173,NA,NA,"very digested, visible head, no body shape, no fins, no jaws",NA,Jennifer Sunahara
2013,01,24,169,diptera,many,0.4133,NA,NA,weight may be a bit inaccurate due to a few loose DIP,NA,Jennifer Sunahara
2013,01,25,183,diptera,many,0.2298,NA,NA,NA,NA,Jennifer Sunahara
2012,11,17,915,ufp,1,0.8212,NA,NA,"flesh & bone, no head, no fins, no jaws",NA,Jennifer Sunahara
2013,01,23,159,cichlid,1,0.4787,NA,NA,"flesh & bone, pharyngeal jaws",NA,Jennifer Sunahara
2012,11,18,1160,ufp,1,1.3127,NA,NA,"flesh & bone, no head, no fins, no jaws, no shape",NA,Jennifer Sunahara
2012,12,19,135,ufp,1,0.0397,NA,NA,flesh & bone,NA,Jennifer Sunahara
2012,12,19,135,hap,1,0.9071,NA,NA,"great condition, shape, pharyngeal jaws, ctenoid scales",NA,Jennifer Sunahara
2012,11,17,912,hap,1,0.9729,NA,NA,"body shape, pharyngeal jaws, ctenoid scales, good condition",NA,Jennifer Sunahara
2013,01,23,161,diptera,many,0.1227,NA,NA,NA,NA,Jennifer Sunahara
2013,01,23,161,ufp,1,0.9164,NA,NA,flesh & bone,NA,Jennifer Sunahara
2012,11,29,65,ufp,1,0.1722,NA,NA,flesh & bone,NA,Jennifer Sunahara
2012,11,24,32,nile perch,1,1.5112,NA,NA,"body in 2 pieces, but clear NP fins & body shape, no pharyngeal jaws",NA,Jennifer Sunahara
2012,11,23,20,ephemeroptera larvae,1,0.0017,NA,NA,just the head,NA,Jennifer Sunahara
2012,11,23,20,cichlid,1,0.2808,NA,NA,"mass of flesh & bone, pharyngeal jaws",NA,Jennifer Sunahara
2012,11,28,47,cichlid,1,3.1631,NA,NA,"not much body shape, pharyngeal jaws",NA,Jennifer Sunahara
2012,11,17,925,ufp,1,0.5226,NA,NA,"just the head, not much body shape, no fins",NA,Jennifer Sunahara
2012,12,19,138,vegitation,much,0.0049,NA,NA,NA,NA,Jennifer Sunahara
2012,12,19,138,ufp,1,0.1482,NA,NA,flesh & bone & scale,NA,Jennifer Sunahara
2013,01,24,170,diptera,many,1.2981,NA,NA,many & green,NA,Jennifer Sunahara
2013,01,25,187,diptera,many,0.3203,NA,NA,many & green,NA,Jennifer Sunahara
2013,01,25,187,ufp,1,0.1327,NA,NA,flesh & bone,NA,Jennifer Sunahara
2013,01,23,162,diptera,many,0.4313,NA,NA,green & many,NA,Jennifer Sunahara
2013,01,23,162,unidentified,much,0.1886,NA,NA,"flesh (no bones), looks like worm? or leech?",NA,Jennifer Sunahara
2013,01,23,164,diptera,many,0.1289,NA,NA,many & green,NA,Jennifer Sunahara
2013,01,23,164,hap,1,0.9954,NA,NA,"pharyngeal jaws, ctenoid scales, body shape",NA,Jennifer Sunahara
2012,11,28,50,cichlid,1,1.3612,NA,NA,"pharyngeal jaws, body shape unsure, no visible fins, no scales",NA,Jennifer Sunahara
